State Name,Informasi Umum
Bangladesh,Inspector Training System  1 Bangladesh
Bangladesh,"ICAO Trainair Plus  
Training Managers Course  2 Nepal; 2 Suriname; 2 Bangladesh."
Tajikistan,Airport Emergency Plan  3 Timor Leste ; 1 Tajikistan; 2 Seychelles;
Nepal,Nepal.
Oman,"ATS Incident Investigation  1 Suriname; 2 Timor Leste ; 1 Mesir ; 1 Oman; 1 
Kyrgyztan ; 1 Tunisia;  1 Seychelles; 1 Kenya; 1 
Bangladesh."
Mongolia,"Airport Security 
Programme Workshop  1 Suriname; 2 Timor Leste ; 2 Kenya; 3 
Mongolia; 2 Bangladesh; 1 Madagascar.  
 
•             Sudah terlaksana 
•Data jumlah pendaftar per 22 Agustus 2016 
 
1ANTIGUA & 
BARBUDAAntigua and Barbuda is an independent Commonwealth country comprising its 2 namesake islands and several smaller ones. Position ed where the 
Atlantic and Caribbean meet, it's known for reef-lined beaches, rainforests and resorts. Its English Harbour is a yachting hub and the site of historic 
Nelson's Dockyard. In the capital, St. John's, the national museum displays indigenous and colonial artefacts.
Capital: St. John's
Population: 89,985 (2013) World Bank
Currency: East Caribbean dollar
Government: Federal monarchy, Parliamentary system
Official language: English"
Barbados,"BARBADOSBarbados is an eastern Caribbean island and an independent British Commonwealth nation. Bridgetown, the capital, is a cruise-ship port with colonial 
buildings and Nidhe Israel, a synagogue founded in 1654. Aro und the island are beaches, botanical gardens, the Harrison’s Cave formation, and 17th-
century plantation houses like St. Nicholas Abbey. Local traditions include afternoon tea and cricket, the national sport.
Capital: Bridgetown
Dialing code: +1Currency: Barbadian dollar
Population: 284,644 (2013) World Bank
Official language: English"
Belarus,"BELARUSBelarus, a landlocked country in Eastern Europe, is known for its Stalinist architecture, grand fortifications and primeval forests. In the modern capital, 
Minsk, the monumental KGB Headquarters loom over Independence Squa re, while the Museum of the Great Patriotic War commemorates the 
country’s role in WWII. The capital is also home to many churches, including the neo-Romanesque Church of Saints Simon and Hele na.
Originally published: 1995
Capital: Minsk
Author: I ︠U︡liĭ Gessen
Currency: Belarusian ruble
President: Alexander LukashenkoNEGARA-NEGARA ANGGOTA ICAO YANG AKAN DI LOBI"
Belize,"BELIZEBelize is a nation on the eastern coast of Central America, with Caribbean Sea shorelines to the east and dense jungle to the west. Offshore, the 
massive Belize Barrier Reef, dotted with hundreds of low-lying islands called cayes, hosts rich marine life. Belize’s jungle ar eas are home to Mayan ruins 
like Caracol, renowned for its towering pyramid; lagoon-side Lamanai; and Altun Ha, just outside Belize City.Capital: Belmopan
Dialing code: +501
Continent: North America
Population: 331,900 (2013) World Bank
Official language: English"
Benin,"BENINBenin, a French-speaking West African nation, is a birthplace of the vo dun (or “voodoo”) religion and home to the former Dahomey Kingdom from 
circa 1600–1900. In Abomey, Dahome y's former capital, the Historical Museum occu pies two royal palaces with bas-reliefs recount ing the kingdom’s 
past and a throne mounted on human skulls. To the north, Pendjari National Park offers safaris with elephants, hippos and lions .
Capital: Porto-Novo
Currency: West African CFA franc
President: Patrice Talon
Population: 10.32 million (2013) World Bank
Points of interest: Royal Palaces of Abomey,"
Bhutan,"BHUTANBhutan, a Buddhist kingdom on the Himalayas’ eastern edge, is known for its monasteries, fortresses (or dzongs) and dramatic la ndscapes that range 
from subtropical plains to steep mountains and valleys. In the High Himalayas, peaks such as 7,326m Jomolhari are popular trekk ing destinations. Paro 
Taktsang monastery (also known as Tiger’s Nest) clings to cliffs above the forested Paro Valley.
Capital: Thimphu
King: Jigme Khesar Namgyel Wangchuck
Prime minister: Tshering Tobgay
Currencies: Bhutanese ngultrum, Indian rupee
Official language: Dzongkha"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Algeria,"ALGERIAAlgeria is a North African country with a Mediterranean coastline and a Saharan desert interior. Many empires have left legacie s here, such as the 
ancient Roman ruins in seaside Tipaza. In the capital, Algiers, Ottoman landmarks like circa-1 612 Ketchaoua Mosque line th e hillside Casbah quarter, 
with its narrow alleys and stairways. The city’s Neo-Byzantine basilica Notre Dame d’Afrique dates to French colonial rule.
Capital: Algiers
Dialing code: +213
Currency: Algerian dinar
President: Abdelaziz Bouteflika
Population: 39.21 million (2013) World Bank"
Andorra,"ANDORRAAndorra is a tiny, independent principality situated between France and Spain in the Pyrenees mountains. It’s known for its ski  resorts and a tax-haven 
status that encourages duty-free shopping. Capital Andorra la Vella has boutiques and jewelers on Meritxell Avenue and several shopping centers. The 
old quarter, Barri Antic, houses Romanesque Santa Coloma Church, with a circular bell tower.
Capital: Andorra la Vella
Population: 79,218 (2013) World Bank
Currency: Euro
Prime minister: Antoni Martí
Official language: Catalan"
Angola,"ANGOLAAngola is a Southern African nation whose varied terrain encompasses tropical Atlantic beaches, a labyrinthine system of rivers  and Sub-Saharan desert 
that extends across the border into Namibia. The country's colonial history is reflected in its Portuguese-influenced cuisine a nd its landmarks including 
Fortaleza de São Miguel, a fortress built by the Portuguese in 1576 to defend the capital, Luanda.
Capital: Luanda
Currency: Angolan kwanza
President: José Eduardo dos Santos
Population: 21.47 million (2013) World Bank
GDP per capita: 5,783.37 USD (2013) World Bank
Official language: Portuguese"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Algeria,"ALGERIAAlgeria is a North African country with a Mediterranean coastline and a Saharan desert interior. Many empires have left legacie s here, such as the 
ancient Roman ruins in seaside Tipaza. In the capital, Algiers, Ottoman landmarks like circa-1 612 Ketchaoua Mosque line th e hillside Casbah quarter, 
with its narrow alleys and stairways. The city’s Neo-Byzantine basilica Notre Dame d’Afrique dates to French colonial rule.
Capital: Algiers
Dialing code: +213
Currency: Algerian dinar
President: Abdelaziz Bouteflika
Population: 39.21 million (2013) World Bank"
Andorra,"ANDORRAAndorra is a tiny, independent principality situated between France and Spain in the Pyrenees mountains. It’s known for its ski  resorts and a tax-haven 
status that encourages duty-free shopping. Capital Andorra la Vella has boutiques and jewelers on Meritxell Avenue and several shopping centers. The 
old quarter, Barri Antic, houses Romanesque Santa Coloma Church, with a circular bell tower.
Capital: Andorra la Vella
Population: 79,218 (2013) World Bank
Currency: Euro
Prime minister: Antoni Martí
Official language: Catalan"
Angola,"ANGOLAAngola is a Southern African nation whose varied terrain encompasses tropical Atlantic beaches, a labyrinthine system of rivers  and Sub-Saharan desert 
that extends across the border into Namibia. The country's colonial history is reflected in its Portuguese-influenced cuisine a nd its landmarks including 
Fortaleza de São Miguel, a fortress built by the Portuguese in 1576 to defend the capital, Luanda.
Capital: Luanda
Currency: Angolan kwanza
President: José Eduardo dos Santos
Population: 21.47 million (2013) World Bank
GDP per capita: 5,783.37 USD (2013) World Bank
Official language: Portuguese"
Argentina,"ARGENTINAArgentina is a massive South American nation with terrain encompassing Andes mountains, glacial lakes and Pampas grassland, the  traditional grazing 
ground of its famed beef cattle. The country is famous for tango dance and music. Its big, cosmopolitan capital, Buenos Aires, is centered on the Plaza 
de Mayo, lined with stately 19th-century buildings including Casa Rosada, the iconic, balconied presidential palace.
Capital: Buenos Aires
Dialing code: +54
President: Mauricio Macri
Currency: Argentine peso
Population: 41.45 million (2013) World Bank"
Armenia,"ARMENIAArmenia is a nation, and former Soviet republic, in the mountainous Caucasus region between Asia and Europe. Among the earliest  Christian 
civilizations, it’s defined by religious sites including the Greco-Roman Temple of Garni and 4th-century Etchmiadzin Cathedral,  headquarters of the 
Armenian Church. Khor Virap Monastery is a pilgrimage site near Mount Ararat, a dormant volcano just across the border in Turke y.
Capital: Yerevan
President: Serzh Sargsyan
Continent: Asia
Population: 2.977 million (2013) World Bank
Currencies: Noah's Ark silver coins, Armenian dram"
Australia,"AUSTRALIAAustralia is a country and continent surrounded by the Indian and Pacific oceans. Its major cities – Sydney, Brisbane, Melbourn e, Perth, Adelaide – are 
coastal. Its capital, Canberra, is inland. The country is known for its Sydney Opera House, the Great Barrier Reef, a vast inte rior desert wilderness called 
the Outback, and unique animal species like kangaroos and duck-billed platypuses.
Capital: Canberra
Dialing code: +61
Prime minister: Malcolm Turnbull
Population: 23.13 million (2013) World Bank
Currency: Australian dollar

16CENTRAL 
AFRICAN 
REPUBLICThe Central African Republic (CAR; Sango: Ködörösêse tî Bêafrîka; French: République centrafricaine  pronounced: [ʁepyblik sɑ ̃tʁafʁikɛn], or 
Centrafrique [sɑ ̃tʀafʁik]) is a landlocked country in Central Africa. It is bordered by Chad to the north, Sudan to the northeast, South Sudan t o the east, 
the Democratic Republic of the Congo and the Republic of the Congo to the south and Cameroon to the west. The CAR covers a land  area of about 
620,000 square kilometres (240,000 sq mi) and had an estimated population of aro und 4.7 million as of 2014.                                                             Capital: 
Bangui
Currency: Central African CFA franc
President: Faustin-Archange Touadéra
Population: 4.616 million (2013) World Bank
Official languages: French, Sango"
India,"COMOROSThe Comoros is a volcanic archipelago off Africa’s east coast, in the warm Indian Ocean waters of the Mozambique Channel. The n ation state’s largest 
island, Grande Comore (Ngazidja) is ringed by beaches and old lava from active Mt. Karthala volcano. Clustered aro und the port in the capital, Moroni, 
carved doors and the white colonnaded Ancienne Mosquée du Vendredi recall the islands’ Arab heritage.
Capital: Moroni
Population: 734,917 (2013) World Bank
President: Azali Assoumani
Currency: Comorian franc
Continent: Africa
Official languages: French, Arabic, Comorian"
Cook Islands,"COOK ISLANDThe Cook Islands is a nation in the South Pacific, with political links to New Zealand. Its 15 islands are scattered over a vas t area. The largest island, 
Rarotonga, is home to rugged mountains and Avarua, the national capital. To the north, Aitutaki Island has a vast lagoon encircled by coral reefs and 
small, sandy islets. The country is renowned for its many snorkeling and scuba-diving sites.
Capital: Avarua
Population: 10,900 (Jun 2011)
Continent: Oceania
Currencies: New Zealand dollar, Cook Islands dollar
Official languages: English, Rarotongan"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Cyprus,"CYPRUSThe Republic of Cyprus occupies the southern part of the island of Cyprus in the eastern Mediterranean. The island (and capital  city Nicosia) is divided 
with Turkey to the north. Known for beaches, it also has a rugged interior with wine regions. Coastal Paphos is famed for its a rchaeological sites 
relating to the cult of Aphrodite, including ruins of palaces, tombs and mosaic-tiled villas.
Capital: Nicosia
Currency: Euro
Population: 1.141 million (2013) World Bank
Points of interest: Kykkos Monastery"
Finland,"FINLANDFinland is a Northern European nation bordering Sweden, Norway and Russia. Its capital, Helsinki, occupies a peninsula and surr ounding islands in the 
Baltic Sea. Helsinki is home to the 18th-century sea fortress Suomenlinna, the fashionable Design District and diverse museums. The Northern Lights 
can be seen from the country's Arctic Lapland province, a vast wilderness with national parks and ski resorts.
Capital: Helsinki
Currency: Euro
Population: 5.439 million (2013) World Bank
Official languages: Finnish, Swedish
Colleges and Universities: University of Helsinki"
Gabon,"GABONGabon, a country along the Atlantic coast of Central Africa, has significant areas of protected parkland. The forested coastal terrain of its famed Loango 
National Park shelters a diversity of wildlife, from gorillas and hippos to whales. Lopé National Park consists of mostly rainf orest. Akanda National Park 
is known for its mangroves and tidal beaches.
Capital: Libreville
President: Ali Bongo Ondimba
Currency: Central African CFA franc
Population: 1.672 million (2013) World Bank
Prime minister: Daniel Ona Ondo
Official language: French"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Cyprus,"CYPRUSThe Republic of Cyprus occupies the southern part of the island of Cyprus in the eastern Mediterranean. The island (and capital  city Nicosia) is divided 
with Turkey to the north. Known for beaches, it also has a rugged interior with wine regions. Coastal Paphos is famed for its a rchaeological sites 
relating to the cult of Aphrodite, including ruins of palaces, tombs and mosaic-tiled villas.
Capital: Nicosia
Currency: Euro
Population: 1.141 million (2013) World Bank
Points of interest: Kykkos Monastery"
Finland,"FINLANDFinland is a Northern European nation bordering Sweden, Norway and Russia. Its capital, Helsinki, occupies a peninsula and surr ounding islands in the 
Baltic Sea. Helsinki is home to the 18th-century sea fortress Suomenlinna, the fashionable Design District and diverse museums. The Northern Lights 
can be seen from the country's Arctic Lapland province, a vast wilderness with national parks and ski resorts.
Capital: Helsinki
Currency: Euro
Population: 5.439 million (2013) World Bank
Official languages: Finnish, Swedish
Colleges and Universities: University of Helsinki"
Gabon,"GABONGabon, a country along the Atlantic coast of Central Africa, has significant areas of protected parkland. The forested coastal terrain of its famed Loango 
National Park shelters a diversity of wildlife, from gorillas and hippos to whales. Lopé National Park consists of mostly rainf orest. Akanda National Park 
is known for its mangroves and tidal beaches.
Capital: Libreville
President: Ali Bongo Ondimba
Currency: Central African CFA franc
Population: 1.672 million (2013) World Bank
Prime minister: Daniel Ona Ondo
Official language: French"
Guinea,"GUINEA BISSAUGuinea-Bissau is a tropical country on West Africa’s Atlantic coast that’s known for national parks and wildlife. The forested,  sparsely populated Bijagós 
archipelago is a protected biosphere reserve. Its main island, Bubaque, forms part of the Orango Islands National Park, a habit at for saltwater hippos. 
On the mainland, the capital, Bissau, is a port with Portuguese colonial buildings in its old city center.
Capital: Bissau
Dialing code: +245
Currency: West African CFA franc
President: José Mário Vaz
Population: 1.704 million (2013) World Bank
Prime minister: Baciro Djá
Official language: Portuguese"
Guyana,"GUYANAGuyana, a country on South America’s North Atlantic coast, is defined by its dense rainforest. English-speaking, with cricket a nd calypso music, it's 
culturally connected to the Caribbean region. Its capital, Georgetown, is known for British colonial architecture, including tall, painted-timber St. 
George’s Anglican Cathedral. A large clock marks the facade of Stabroek Market, a source of local produce.
Capital: Georgetown
Dialing code: +592
Currency: Guyanese dollar
Population: 799,613 (2013) World Bank
President: David A. Granger
Official language: English"
Dominica,"HAITIHaiti is a Caribbean country that shares the island of Hispaniola with the Dominican Republic to its east. Though it’s still re covering from a 2010 
earthquake, many of Haiti's landmarks dating to the early 19th century remain intact. These include Citadelle la Ferrière, a mountaintop fortress, and 
the nearby ruins of Sans-Souci Palace, the baroque former royal home of King Henry I.
Capital: Port-au-Prince
Population: 10.32 million (2013) World Bank
Currency: Haitian gourde
Continent: North America
Official languages: French, Haitian Creole French"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Guinea,"GUINEA BISSAUGuinea-Bissau is a tropical country on West Africa’s Atlantic coast that’s known for national parks and wildlife. The forested,  sparsely populated Bijagós 
archipelago is a protected biosphere reserve. Its main island, Bubaque, forms part of the Orango Islands National Park, a habit at for saltwater hippos. 
On the mainland, the capital, Bissau, is a port with Portuguese colonial buildings in its old city center.
Capital: Bissau
Dialing code: +245
Currency: West African CFA franc
President: José Mário Vaz
Population: 1.704 million (2013) World Bank
Prime minister: Baciro Djá
Official language: Portuguese"
Guyana,"GUYANAGuyana, a country on South America’s North Atlantic coast, is defined by its dense rainforest. English-speaking, with cricket a nd calypso music, it's 
culturally connected to the Caribbean region. Its capital, Georgetown, is known for British colonial architecture, including tall, painted-timber St. 
George’s Anglican Cathedral. A large clock marks the facade of Stabroek Market, a source of local produce.
Capital: Georgetown
Dialing code: +592
Currency: Guyanese dollar
Population: 799,613 (2013) World Bank
President: David A. Granger
Official language: English"
Dominica,"HAITIHaiti is a Caribbean country that shares the island of Hispaniola with the Dominican Republic to its east. Though it’s still re covering from a 2010 
earthquake, many of Haiti's landmarks dating to the early 19th century remain intact. These include Citadelle la Ferrière, a mountaintop fortress, and 
the nearby ruins of Sans-Souci Palace, the baroque former royal home of King Henry I.
Capital: Port-au-Prince
Population: 10.32 million (2013) World Bank
Currency: Haitian gourde
Continent: North America
Official languages: French, Haitian Creole French"
Jamaica,"JAMAICAJamaica, a Caribbean island nation, has a lush topography of mountains, rainforests and reef-lined beaches. Many of its all-inclusive resorts are 
clustered in Montego Bay, with its British-colonial architecture, and Negril, known for its diving and snorkeling sites. Jamaica is famed as the birthplace 
of reggae music, and its capital Kingston is home to the Bob Marley Museum, dedicated to the famous singer.
Capital: Kingston
Currency: Jamaican dollar
Population: 2.715 million (2013) World Bank
Continent: North America
National anthem: Jamaica, Land We Love, God Save the Queen"
Malaysia,"MALAYSIAMalaysia is a Southeast Asian country occupying parts of the Malay Peninsula and the island of Borneo. It's known for its beach es, rainforests and mix 
of Malay, Chinese, Indian and European cultural influences. The capital, Kuala Lumpur, is home to colonial buildings, busy shop ping districts such as 
Bukit Bintang and skyscrapers such as the iconic, 451m-tall Petronas Twin Towers.
Currency: Malaysian ringgit"
Botswana,"BOTSWANABotswana, a landlocked country in Southern Africa, has a landscape defined by the Kalahari Desert and the Okavango Delta, which  becomes a lush 
animal habitat during the seasonal floods. The massive Central Kalahari Game Reserve, with its fossilized river valleys and und ulating grasslands, is 
home to numerous animals including giraffes, cheetahs, hyenas and wild dogs.
Capital: Gaborone
Currency: Botswana pula
President: Ian Khama
Population: 2.021 million (2013) World Bank
Official languages: English, Tswana"
Brazil,"BRAZILBrazil, a vast South American country, stretches from the Amazon Basin in the north to vineyards and massive Iguaçu Falls in th e south. Rio de Janeiro, 
symbolized by its 38m Christ the Redeemer statue atop Mount Corcovado, is famed for its busy Copacabana and Ipanema beaches as well as its 
enormous, raucous Carnaval festival, featuring parade floats, flamboyant costumes and samba music and dance.
Capital: Brasília
Dialing code: +55
Currency: Brazilian real
President: Michel Temer
Population: 200.4 million (2013) World Bank
Official language: Portuguese"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Jamaica,"JAMAICAJamaica, a Caribbean island nation, has a lush topography of mountains, rainforests and reef-lined beaches. Many of its all-inclusive resorts are 
clustered in Montego Bay, with its British-colonial architecture, and Negril, known for its diving and snorkeling sites. Jamaica is famed as the birthplace 
of reggae music, and its capital Kingston is home to the Bob Marley Museum, dedicated to the famous singer.
Capital: Kingston
Currency: Jamaican dollar
Population: 2.715 million (2013) World Bank
Continent: North America
National anthem: Jamaica, Land We Love, God Save the Queen"
Malaysia,"MALAYSIAMalaysia is a Southeast Asian country occupying parts of the Malay Peninsula and the island of Borneo. It's known for its beach es, rainforests and mix 
of Malay, Chinese, Indian and European cultural influences. The capital, Kuala Lumpur, is home to colonial buildings, busy shop ping districts such as 
Bukit Bintang and skyscrapers such as the iconic, 451m-tall Petronas Twin Towers.
Currency: Malaysian ringgit"
Botswana,"BOTSWANABotswana, a landlocked country in Southern Africa, has a landscape defined by the Kalahari Desert and the Okavango Delta, which  becomes a lush 
animal habitat during the seasonal floods. The massive Central Kalahari Game Reserve, with its fossilized river valleys and und ulating grasslands, is 
home to numerous animals including giraffes, cheetahs, hyenas and wild dogs.
Capital: Gaborone
Currency: Botswana pula
President: Ian Khama
Population: 2.021 million (2013) World Bank
Official languages: English, Tswana"
